epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
67,0.328804,0.113474,0.711488,0.408652,4.849383,0.514505,0.148,0.1613,0.1347,0.3345,0.4425,0.2453
68,0.333796,0.113929,0.709684,0.448863,4.849402,0.504756,0.1793,0.1993,0.1593,0.3723,0.47,0.2755
69,0.324313,0.110535,0.696608,0.421187,4.84937,0.499653,0.2085,0.2743,0.1427,0.4102,0.5312,0.3121
70,0.321551,0.106017,0.688013,0.44318,4.849421,0.485605,0.1893,0.2057,0.173,0.3815,0.4797,0.2877
71,0.31073,0.103198,0.679079,0.400243,4.849441,0.477996,0.1087,0.1303,0.087,0.2365,0.313,0.179
72,0.307658,0.101049,0.671414,0.408699,4.849414,0.46388,0.1327,0.1303,0.135,0.292,0.3938,0.2188
73,0.308377,0.100567,0.665798,0.420252,4.849421,0.468115,0.1492,0.1467,0.1517,0.3358,0.4505,0.2469
74,0.290966,0.094647,0.652164,0.363241,4.849435,0.445271,0.2673,0.272,0.2627,0.5075,0.6172,0.3835
75,0.295881,0.095306,0.651539,0.394519,4.84942,0.44446,0.1512,0.15,0.1523,0.3432,0.455,0.2496
76,0.287705,0.091955,0.653204,0.353366,4.849421,0.44288,0.1963,0.187,0.2057,0.4197,0.5357,0.3072
77,0.290425,0.096047,0.654487,0.349737,4.849427,0.44636,0.1748,0.1477,0.202,0.3612,0.4642,0.2702
78,0.284735,0.091843,0.64532,0.349497,4.849417,0.435486,0.1308,0.155,0.1067,0.3032,0.4083,0.2213
79,0.285924,0.088596,0.636614,0.387852,4.84944,0.428364,0.2427,0.246,0.2393,0.4592,0.5772,0.3521
80,0.28368,0.084841,0.630259,0.408193,4.84944,0.412532,0.1678,0.1867,0.149,0.3627,0.4702,0.2686
81,0.286328,0.087469,0.637053,0.393916,4.849439,0.429754,0.239,0.292,0.186,0.4513,0.5628,0.345
82,0.271856,0.083387,0.629045,0.341411,4.849415,0.406339,0.2088,0.233,0.1847,0.4137,0.5198,0.3114
83,0.286123,0.087613,0.63545,0.40012,4.849415,0.420659,0.2893,0.284,0.2947,0.5802,0.6995,0.4252
84,0.277074,0.081906,0.627713,0.382723,4.849417,0.408844,0.0947,0.0933,0.096,0.2382,0.3298,0.1727
85,0.291329,0.087766,0.63708,0.430593,4.849427,0.42277,0.1858,0.192,0.1797,0.4067,0.5215,0.2969
86,0.272666,0.080966,0.624502,0.362726,4.849431,0.407288,0.296,0.347,0.245,0.5842,0.7073,0.431
87,0.262859,0.078283,0.612059,0.335657,4.849434,0.392145,0.2158,0.2077,0.224,0.4505,0.5677,0.331
88,0.263866,0.078992,0.615174,0.329958,4.849421,0.399926,0.2655,0.314,0.217,0.4912,0.5983,0.3757
89,0.267815,0.079452,0.607819,0.37077,4.849439,0.389919,0.374,0.4347,0.3133,0.6495,0.7592,0.5022
90,0.268455,0.074863,0.605415,0.404531,4.849424,0.380312,0.2382,0.3027,0.1737,0.4638,0.5668,0.3483
91,0.264519,0.074208,0.608426,0.369358,4.849428,0.39195,0.3708,0.4213,0.3203,0.6498,0.7653,0.5001
92,0.256219,0.071632,0.586621,0.369388,4.849428,0.369264,0.3978,0.4183,0.3773,0.6907,0.8017,0.5317
93,0.255741,0.072594,0.592059,0.355467,4.84941,0.368228,0.3057,0.362,0.2493,0.5762,0.6908,0.4328
94,0.248498,0.07057,0.595037,0.309447,4.849401,0.372027,0.2667,0.316,0.2173,0.5163,0.6318,0.3854
95,0.251061,0.072432,0.600588,0.311988,4.849417,0.370642,0.3643,0.371,0.3577,0.6437,0.7643,0.4938
96,0.24413,0.066817,0.581211,0.32461,4.849412,0.35765,0.2803,0.3177,0.243,0.5332,0.6498,0.4017
97,0.246314,0.067841,0.581969,0.336298,4.84943,0.353795,0.2105,0.2603,0.1607,0.4233,0.5423,0.32
98,0.237272,0.064662,0.57252,0.306961,4.849406,0.346934,0.2933,0.397,0.1897,0.5623,0.6863,0.4216
99,0.237949,0.06438,0.574832,0.309246,4.849397,0.34749,0.319,0.3583,0.2797,0.5857,0.7017,0.4455
100,0.231692,0.062734,0.554688,0.315073,4.849379,0.327161,0.361,0.437,0.285,0.6558,0.7692,0.4958
101,0.240229,0.062942,0.567635,0.345137,4.84937,0.340191,0.2928,0.3537,0.232,0.5343,0.6552,0.4112
102,0.243253,0.061967,0.558594,0.382539,4.84939,0.338744,0.2545,0.2813,0.2277,0.5042,0.6235,0.3761
103,0.237455,0.059139,0.550856,0.374221,4.849376,0.327108,0.227,0.3437,0.1103,0.4435,0.5535,0.335
