epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
100,0.316711,0.172497,0.766328,0.34215,4.849218,,0.4483,0.4867,0.41,0.81,0.914,0.6044
101,0.309538,0.168194,0.760695,0.320486,4.849226,,0.3437,0.3807,0.3067,0.7485,0.8752,0.5183
102,0.305913,0.162649,0.750004,0.334604,4.849207,,0.4102,0.446,0.3743,0.8027,0.9108,0.5763
103,0.295538,0.16236,0.747228,0.270388,4.849221,,0.4817,0.5513,0.412,0.838,0.9283,0.6344
104,0.30963,0.168061,0.750001,0.335932,4.84921,,0.4188,0.4863,0.3513,0.7932,0.9068,0.5807
105,0.305875,0.162211,0.740015,0.349569,4.849188,,0.4563,0.527,0.3857,0.8235,0.9238,0.6135
106,0.301193,0.153451,0.726211,0.374714,4.849202,,0.4038,0.4327,0.375,0.7817,0.913,0.5672
107,0.28383,0.146632,0.709401,0.310925,4.849183,,0.518,0.597,0.439,0.8687,0.9533,0.6675
108,0.279151,0.1479,0.715875,0.265608,4.849182,,0.5335,0.613,0.454,0.8683,0.9467,0.6791
109,0.283188,0.149548,0.718641,0.281694,4.8492,,0.4555,0.517,0.394,0.8195,0.9282,0.6117
110,0.284558,0.146118,0.710055,0.317136,4.849192,,0.4018,0.4563,0.3473,0.7753,0.8958,0.5636
111,0.285525,0.151724,0.718122,0.288536,4.849176,,0.3743,0.4143,0.3343,0.746,0.8738,0.5362
112,0.287977,0.152032,0.710027,0.314339,4.849154,,0.5492,0.6193,0.479,0.8818,0.956,0.693
113,0.277187,0.140599,0.699764,0.305631,4.849163,,0.548,0.6153,0.4807,0.8832,0.9625,0.6912
114,0.271393,0.1366,0.687725,0.300386,4.849186,,0.3823,0.4303,0.3343,0.747,0.8843,0.543
115,0.276487,0.137302,0.6885,0.330272,4.849195,,0.3965,0.43,0.363,0.7695,0.9043,0.5586
116,0.269021,0.135225,0.691564,0.285412,4.849187,,0.3627,0.3913,0.334,0.704,0.8415,0.5152
117,0.284247,0.143524,0.698206,0.342105,4.849202,,0.3727,0.4163,0.329,0.7563,0.8847,0.5375
118,0.271952,0.136777,0.686345,0.305185,4.849198,,0.4775,0.53,0.425,0.8615,0.9485,0.638
119,0.270836,0.139115,0.694629,0.276569,4.8492,,0.4568,0.5003,0.4133,0.82,0.9228,0.6129
120,0.2726,0.137585,0.685451,0.307195,4.849201,,0.5163,0.5847,0.448,0.8648,0.9528,0.6653
121,0.268508,0.134266,0.681442,0.299648,4.849203,,0.5832,0.6613,0.505,0.9105,0.971,0.7225
122,0.272122,0.134817,0.676446,0.32801,4.849201,,0.581,0.6733,0.4887,0.9058,0.9662,0.7195
